纟	糹
诬	誣
语	語
袄	襖
误	誤
诱	誘
诲	誨
说	說
诵	誦
垦	墾
昼	晝
费	費
逊	遜
陨	隕
险	險
娇	嬌
贺	賀
垒	壘
绑	綁
绒	絨
结	結
绕	繞
骄	驕
绘	繪
给	給
绚	絢
骆	駱
络	絡
绝	絕
绞	絞
骇	駭
统	統
艳	艷
蚕	蠶
顽	頑
盏	盞
捞	撈
载	載
赶	趕
盐	鹽
损	損
捡	撿
挚	摯
热	熱
捣	搗
壶	壺
聂	聶
莱	萊
莲	蓮
获	獲
获	穫
恶	惡
恶	噁
莹	瑩
莺	鶯
档	檔
桥	橋
桦	樺
桩	樁
样	樣
贾	賈
砾	礫
础	礎
顾	顧
轿	轎
较	較
顿	頓
毙	斃
致	致
致	緻
虑	慮
监	監
紧	緊
党	黨
党	党
晒	曬
晓	曉
唠	嘮
鸭	鴨
晕	暈
鸯	鴦
罢	罷
圆	圓
贼	賊
贿	賄
赂	賂
赃	贓
钱	錢
钳	鉗
钻	鑽
钾	鉀
铁	鐵
铃	鈴
铅	鉛
牺	犧
敌	敵
积	積
称	稱
笔	筆
债	債
借	借
借	藉
倾	傾
赁	賃
舰	艦
舱	艙
耸	聳
爱	愛
颁	頒
颂	頌
脏	臟
脏	髒
脐	臍
胶	膠
脑	腦
脓	膿
鸵	鴕
鸳	鴛
皱	皺
饿	餓
馁	餒
恋	戀
桨	槳
浆	漿
准	準
准	准
症	症
症	癥
斋	齋
离	離
资	資
竞	競
阅	閱
烦	煩
烧	燒
烛	燭
递	遞
涛	濤
涝	澇
涡	渦
涂	塗
涂	涂
涤	滌
润	潤
涧	澗
涨	漲
烫	燙
涩	澀
悯	憫
宽	寬
家	家
家	傢
宾	賓
窍	竅
请	請
诸	諸
诺	諾
读	讀
诽	誹
袜	襪
课	課
谁	誰
调	調
谅	諒
谆	諄
谈	談
谊	誼
恳	懇
剧	劇
难	難
预	預
绢	絹
绣	綉
验	驗
继	繼
骏	駿
琐	瑣
掷	擲
据	據
据	据
掺	摻
职	職
萝	蘿
萤	螢
营	營
萧	蕭
萨	薩
梦	夢
检	檢
酝	醞
硕	碩
聋	聾
袭	襲
辅	輔
辆	輛
颅	顱
悬	懸
跃	躍
累	纍
累	累
啰	囉
啸	嘯
崭	嶄
逻	邏
婴	嬰
铐	銬
铛	鐺
铝	鋁
铜	銅
铭	銘
铲	鏟
银	銀
矫	矯
秽	穢
笼	籠
偿	償
躯	軀
衅	釁
衔	銜
盘	盤
鸽	鴿
敛	斂
领	領
脸	臉
猎	獵
馅	餡
馆	館
痒	癢
旋	旋
旋	鏇
阎	閻
阐	闡
盖	蓋
断	斷
兽	獸
鸿	鴻
渐	漸
渊	淵
渔	漁
淀	淀
淀	澱
渗	滲
惭	慚
惧	懼
惊	驚
惨	慘
惯	慣
谋	謀
谍	諜
谎	謊
谐	諧
祷	禱
祸	禍
谓	謂
谚	諺
谜	謎
弹	彈
堕	墮
随	隨
隐	隱
婶	嬸
颇	頗
颈	頸
绩	績
绪	緒
续	續
骑	騎
绰	綽
绳	繩
维	維
绵	綿
绷	綳
绸	綢
综	綜
绽	綻
绿	緑
缀	綴
琼	瓊
趋	趨
揽	攬
搀	攙
搁	擱
搂	摟
搅	攪
联	聯
蒋	蔣
韩	韓
椭	橢
确	確
颊	頰
雳	靂
暂	暫
翘	翹
辈	輩
凿	鑿
辉	輝
赏	賞
睐	睞
喷	噴
畴	疇
践	踐
遗	遺
鹃	鵑
赋	賦
赌	賭
赎	贖
赐	賜
赔	賠
铸	鑄
铺	鋪
链	鏈
销	銷
锁	鎖
锄	鋤
锅	鍋
锈	銹
锋	鋒
锌	鋅
锐	銳
鹅	鵝
筑	筑
筑	築
筛	篩
储	儲
惩	懲
御	御
御	禦
释	釋
鲁	魯
惫	憊
馈	饋
馋	饞
装	裝
蛮	蠻
阔	闊
粪	糞
滞	滯
湿	濕
溃	潰
溅	濺
湾	灣
愤	憤
窜	竄
窝	窩
裤	褲
禅	禪
禄	祿
谢	謝
谣	謠
谤	謗
谦	謙
属	屬
屡	屢
缅	緬
缆	纜
缉	緝
缎	緞
缓	緩
缔	締
缕	縷
骗	騙
编	編
骚	騷
缘	緣
鹉	鵡
摄	攝
摆	擺
摆	襬
摊	攤
鹊	鵲
蓝	藍
蒙	濛
蒙	矇
蒙	懞
蒙	蒙
献	獻
榄	欖
楼	樓
赖	賴
碍	礙
尴	尷
雾	霧
辐	輻
辑	輯
输	輸
频	頻
龄	齡
鉴	鑒
跷	蹺
蜗	蝸
错	錯
锚	錨
锡	錫
锣	鑼
锤	錘
锥	錐
锦	錦
键	鍵
锯	鋸
锰	錳
辞	辭
颓	頹
筹	籌
签	簽
签	籤
简	簡
腻	膩
鹏	鵬
腾	騰
鲍	鮑
颖	穎
触	觸
雏	雛
馍	饃
馏	餾
酱	醬
誊	謄
粮	糧
数	數
满	滿
滤	濾
滥	濫
漓	漓
漓	灕
滨	濱
滩	灘
誉	譽
窥	窺
寝	寢
谨	謹
谬	謬
辟	闢
辟	辟
缚	縛
缝	縫
缠	纏
缤	繽
赘	贅
墙	墻
蔑	蔑
蔑	衊
蔼	藹
槛	檻
酿	釀
愿	願
辖	轄
辗	輾
颗	顆
踊	踊
蜡	蠟
蝇	蠅
蝉	蟬
赚	賺
锹	鍬
锻	鍛
镀	鍍
稳	穩
箩	籮
箫	簫
舆	輿
鲜	鮮
馒	饅
潇	瀟
赛	賽
谭	譚
谱	譜
骡	騾
缩	縮
撵	攆
聪	聰
蕴	蘊
樱	櫻
飘	飄
霉	黴
瞒	瞞
题	題
嘱	囑
镇	鎮
镐	鎬
镑	鎊
篓	簍
鲤	鯉
鲫	鯽
瘪	癟
瘫	癱
颜	顏
鲨	鯊
澜	瀾
额	額
谴	譴
鹤	鶴
缭	繚
颠	顛
辙	轍
鹦	鸚
赠	贈
镜	鏡
赞	贊
篮	籃
篱	篱
篱	籬
鲸	鯨
瘾	癮
辩	辯
濒	瀕
懒	懶
缰	繮
缴	繳
瞩	矚
赡	贍
鳄	鰐
辫	辮
赢	贏
骤	驟
嚣	囂
镰	鐮
鳍	鰭
鹰	鷹
巅	巔
颤	顫
癣	癬
鳖	鱉
鬓	鬢
鳞	鱗
躏	躪
赣	贛
镶	鑲
韦	韋
闩	閂
讣	訃
劢	勱
刍	芻
邝	鄺
讦	訐
讧	訌
讪	訕
讫	訖
驭	馭
玑	璣
圹	壙
扪	捫
芗	薌
厍	厙
钇	釔
伛	傴
伥	倀
伧	傖
伫	佇
犷	獷
犸	獁
凫	鳧
邬	鄔
饧	餳
忏	懺
讴	謳
讵	詎
讷	訥
纡	紆
纣	紂
纥	紇
纨	紈
玙	璵
抟	摶
坞	塢
㧐	㩳
芸	芸
芸	蕓
苈	藶
苋	莧
苌	萇
苁	蓯
苎	苧
矶	磯
奁	奩
欤	歟
轫	軔
邺	鄴
呒	嘸
呓	囈
呖	嚦
旸	暘
呗	唄
帏	幃
岘	峴
岚	嵐
囵	圇
钊	釗
钋	釙
钌	釕
佥	僉
奂	奐
鸠	鳩
邹	鄒
饨	飩
饩	餼
饪	飪
饫	飫
饬	飭
庑	廡
疖	癤
闱	闈
闳	閎
闵	閔
炀	煬
沣	灃
沤	漚
沨	渢
沩	潙
怃	憮
怄	慪
忾	愾
怅	悵
怆	愴
诂	詁
诃	訶
诅	詛
诋	詆
诌	謅
诏	詔
诒	詒
陇	隴
陉	陘
妩	嫵
妪	嫗
妫	嬀
刭	剄
纭	紜
纰	紕
纴	紝
纶	綸
纾	紓
玮	瑋
匦	匭
垆	壚
㧟	擓
茏	蘢
茑	蔦
茔	塋
茕	煢
枥	櫪
枧	梘
枨	棖
枞	樅
砀	碭
瓯	甌
郏	郟
轭	軛
鸢	鳶
昙	曇
虮	蟣
黾	黽
咛	嚀
咝	噝
岿	巋
刿	劌
剀	剴
峄	嶧
钍	釷
钎	釺
钏	釧
钒	釩
钕	釹
钗	釵
侩	儈
侪	儕
侬	儂
刽	劊
怂	慫
籴	糴
戗	戧
䏝	膞
迩	邇
枭	梟
饯	餞
饴	飴
疠	癘
疡	瘍
炜	煒
𬉼	熰
炝	熗
泷	瀧
泸	瀘
泺	濼
泾	涇
㤘	㥮
怿	懌
诓	誆
诔	誄
诖	詿
诘	詰
诙	詼
郓	鄆
祎	禕
诛	誅
诜	詵
诟	詬
诠	詮
诣	詣
诤	諍
诧	詫
诨	諢
诩	詡
驽	駑
绀	紺
绁	紲
绂	紱
驷	駟
驸	駙
绉	縐
绌	絀
驿	驛
骀	駘
珑	瓏
顸	頇
垭	埡
挝	撾
挞	撻
贲	賁
垱	壋
挦	撏
荚	莢
贳	貰
荜	蓽
荞	蕎
荟	薈
荠	薺
垩	堊
荥	滎
荦	犖
荨	蕁
荩	藎
荪	蓀
荬	蕒
荮	葤
栉	櫛
栊	櫳
栌	櫨
栎	櫟
柽	檉
郦	酈
砗	硨
砜	碸
殇	殤
轱	軲
轲	軻
轳	轤
轶	軼
轸	軫
虿	蠆
觇	覘
眍	瞘
哓	嘵
哔	嗶
哕	噦
剐	剮
郧	鄖
哙	噲
哝	噥
峣	嶢
帧	幀
峤	嶠
贶	貺
钚	鈈
钛	鈦
钡	鋇
钣	鈑
钤	鈐
钨	鎢
钫	鈁
钯	鈀
笃	篤
俦	儔
俨	儼
俪	儷
胨	腖
胪	臚
胫	脛
鸨	鴇
狯	獪
飑	颮
狲	猻
饷	餉
饸	餄
饹	餎
孪	孿
娈	孌
疬	癧
疭	瘲
飒	颯
闼	闥
闾	閭
闿	闓
阂	閡
炽	熾
烃	烴
浃	浹
浍	澮
浒	滸
浔	洵
浕	濜
恸	慟
恹	懨
恺	愷
恻	惻
恽	惲
诮	誚
祢	禰
诰	誥
诳	誑
鸩	鴆
娅	婭
娆	嬈
怼	懟
绔	絝
骁	驍
骅	驊
绗	絎
绛	絳
骈	駢
顼	頊
珰	璫
珲	琿
埘	塒
埙	塤
埚	堝
贽	贄
莳	蒔
莴	萵
莸	蕕
鸪	鴣
莼	蒓
桡	橈
桢	楨
桤	榿
桧	檜
逦	邐
砺	礪
砻	礱
轼	軾
轾	輊
辂	輅
鸫	鶇
趸	躉
龀	齔
鸬	鸕
眬	矓
唛	嘜
鸮	鴞
蚬	蜆
唢	嗩
崂	嶗
崃	崍
觊	覬
赅	賅
钰	鈺
钲	鉦
钴	鈷
钵	鉢
钹	鈸
钺	鉞
钽	鉭
钼	鉬
钿	鈿
铀	鈾
铂	鉑
铄	鑠
铆	鉚
铈	鈰
铉	鉉
铊	鉈
铋	鉍
铌	鈮
铍	鈹
䥽	鏺
铎	鐸
氩	氬
笕	筧
颀	頎
徕	徠
脍	膾
鸱	鴟
玺	璽
鸲	鴝
猃	獫
袅	裊
饽	餑
栾	欒
挛	攣
痈	癰
痉	痙
颃	頏
阃	閫
阄	鬮
訚	誾
阆	閬
郸	鄲
烨	燁
烩	燴
烬	燼
涞	淶
涟	漣
涠	潿
悭	慳
诹	諏
诼	諑
祯	禎
诿	諉
谀	諛
谂	諗
谄	諂
谇	誶
娲	媧
娴	嫻
绠	綆
骊	驪
绡	綃
骋	騁
绥	綏
绦	絛
绨	綈
骎	駸
鸶	鷥
焘	燾
琏	璉
麸	麩
掳	擄
掴	摑
鸷	鷙
掸	撣
悫	慤
掼	摜
萦	縈
梿	槤
觋	覡
棂	欞
啬	嗇
匮	匱
硖	硤
硗	磽
鸸	鴯
龚	龔
殒	殞
殓	殮
赉	賚
辄	輒
堑	塹
啧	嘖
啭	囀
啮	嚙
跄	蹌
蛎	蠣
蛊	蠱
蛏	蟶
帻	幘
帼	幗
赇	賕
赈	賑
赊	賒
铑	銠
铒	鉺
铗	鋏
铙	鐃
铟	銦
铠	鎧
铡	鍘
铢	銖
铣	銑
铤	鋌
铧	鏵
铨	銓
铩	鎩
铪	鉿
铫	銚
铬	鉻
铮	錚
铯	銫
铰	鉸
铱	銥
铳	銃
铵	銨
铷	銣
鸹	鴰
秾	穠
笺	箋
笾	籩
偾	僨
偻	僂
皑	皚
鸻	鴴
舻	艫
龛	龕
猡	玀
猕	獼
馃	餜
馄	餛
鸾	鸞
阇	闍
阈	閾
阉	閹
阊	閶
阋	鬩
阍	閽
阏	閼
羟	羥
粝	糲
焖	燜
渍	漬
渎	瀆
渑	澠
惬	愜
惮	憚
谌	諶
谏	諫
皲	皸
谑	謔
裆	襠
谒	謁
谔	諤
谕	諭
谖	諼
谗	讒
谙	諳
谛	諦
谝	諞
粜	糶
婵	嬋
绫	綾
骐	騏
绮	綺
绯	緋
绱	緔
骒	騍
绲	緄
骓	騅
绶	綬
绺	綹
绻	綣
绾	綰
骖	驂
缁	緇
靓	靚
辇	輦
鼋	黿
颉	頡
揿	撳
蛰	蟄
塆	壪
蒌	蔞
椟	櫝
椤	欏
赍	賫
鹁	鵓
鹂	鸝
殚	殫
辊	輥
辋	輞
椠	槧
辍	輟
辎	輜
睑	瞼
跞	躒
蛱	蛺
蛲	蟯
蛳	螄
蛴	蠐
喽	嘍
嵘	嶸
嵝	嶁
赕	賧
铻	鋙
铼	錸
铿	鏗
锃	鋥
锂	鋰
锆	鋯
锇	鋨
锉	銼
锏	鐧
锑	銻
锒	鋃
锔	鋦
锕	錒
犊	犢
鹄	鵠
筚	篳
牍	牘
傥	儻
傧	儐
傩	儺
媭	嬃
颌	頜
鹆	鵒
鱿	魷
鲀	魨
鲂	魴
颍	潁
飓	颶
觞	觴
颎	熲
馇	餷
馊	餿
亵	褻
脔	臠
痨	癆
痫	癇
赓	賡
颏	頦
鹇	鷳
阑	闌
阒	闃
阕	闋
鹈	鵜
溆	漵
愦	憒
喾	嚳
谟	謨
裢	褳
裥	襇
谠	讜
谡	謖
谥	謚
谧	謐
骘	騭
巯	巰
翚	翬
骛	騖
缂	緙
缃	緗
缄	緘
缇	緹
缈	緲
缌	緦
缑	緱
缒	縋
缗	緡
飨	饗
耢	耮
骜	驁
韫	韞
摅	攄
摈	擯
毂	轂
蓦	驀
鹋	鶓
蓟	薊
蓠	蘺
蓥	鎣
颐	頤
榈	櫚
榉	櫸
碛	磧
碜	磣
鹌	鵪
辏	輳
龃	齟
龅	齙
韪	韙
嗫	囁
跶	躂
跸	蹕
跹	躚
跻	躋
嗳	噯
锗	鍺
锛	錛
锜	錡
锝	鍀
锞	錁
锟	錕
锢	錮
锨	鍁
锩	錈
锭	錠
锱	錙
觎	覦
颔	頷
鲅	鮁
鲆	鮃
鲇	鮎
鲈	鱸
稣	穌
鲋	鮒
鲐	鮐
鹐	鵮
飕	颼
馐	饈
鹑	鶉
瘆	瘮
阖	闔
阗	闐
阙	闕
滟	灧
滢	瀅
滗	潷
滦	灤
滪	澦
慑	懾
鲎	鱟
骞	騫
窦	竇
谩	謾
谪	謫
嫒	嬡
嫔	嬪
缙	縉
缜	縝
缛	縟
辔	轡
骝	騮
缟	縞
缡	縭
缢	縊
缣	縑
骟	騸
觏	覯
韬	韜
叆	靉
撄	攖
蔷	薔
蔺	藺
鹕	鶘
槟	檳
槠	櫧
酽	釅
殡	殯
霁	霽
辕	轅
龇	齜
龈	齦
䁖	瞜
暧	曖
踌	躊
蝈	蟈
鹗	鶚
嘤	嚶
罴	羆
赙	賻
罂	罌
鹘	鶻
锲	鍥
锴	鍇
锶	鍶
锷	鍔
锸	鍤
锵	鏘
镁	鎂
镂	鏤
箦	簀
箧	篋
箪	簞
箓	籙
膑	臏
鲑	鮭
鲔	鮪
鲚	鱭
鲛	鮫
鲟	鱘
馑	饉
銮	鑾
瘘	瘻
阚	闞
鲞	鯗
糁	糝
鹚	鷀
潋	瀲
潍	濰
谮	譖
褛	褸
谯	譙
谰	讕
谲	譎
鹛	鶥
嫱	嬙
鹜	鶩
骠	驃
缥	縹
缦	縵
缧	縲
缨	纓
骢	驄
缪	繆
缫	繅
耧	耬
璎	瓔
撷	擷
撸	擼
撺	攛
聩	聵
觐	覲
鞑	韃
鞒	鞽
蕲	蘄
赜	賾
樯	檣
靥	靨
魇	魘
餍	饜
辘	轆
龉	齬
龊	齪
觑	覷
颙	顒
踬	躓
踯	躑
蝾	蠑
蝼	螻
颚	顎
噜	嚕
颛	顓
镊	鑷
镉	鎘
镌	鐫
镍	鎳
镏	鎦
镒	鎰
镓	鎵
镔	鑌
篑	簣
鹞	鷂
鲠	鯁
鲡	鱺
鲢	鰱
鲣	鰹
鲥	鰣
鲧	鯀
鲩	鯇
觯	觶
馓	饊
馔	饌
齑	齏
谳	讞
褴	襤
谵	譫
屦	屨
缬	纈
缮	繕
缯	繒
骣	驏
擞	擻
颞	顳
颟	顢
薮	藪
橹	櫓
橼	櫞
赝	贋
飙	飆
錾	鏨
辚	轔
螨	蟎
䦃	鐯
镖	鏢
镗	鏜
镘	鏝
镚	鏰
镛	鏞
镝	鏑
镞	鏃
镠	鏐
氇	氌
穑	穡
魉	魎
鲮	鯪
鲱	鯡
鲲	鯤
鲳	鯧
鲴	鯝
鲵	鯢
鲷	鯛
鲻	鯔
獭	獺
鹧	鷓
赟	贇
瘿	癭
斓	斕
濑	瀨
颡	顙
缱	繾
缲	繰
缳	繯
藓	蘚
鹩	鷯
龋	齲
龌	齷
蹑	躡
蹒	蹣
羁	羈
镡	鐔
镢	鐝
镣	鐐
镦	鐓
镧	鑭
镩	鑹
镪	鏹
镫	鐙
簖	籪
鹪	鷦
鲼	鱝
鲽	鰈
鳀	鯷
鳃	鰓
鳅	鰍
鳇	鰉
鳊	鯿
鹫	鷲
懑	懣
鹬	鷸
鳌	鰲
鞯	韉
颢	顥
鹭	鷺
鹮	䴉
髅	髏
镬	鑊
镭	鐳
镯	鐲
雠	讎
鳎	鰨
鳏	鰥
鳐	鰩
癞	癩
攒	攢
霭	靄
蹿	躥
髋	髖
髌	髕
镲	鑔
籁	籟
鳓	鰳
鳔	鰾
鳕	鱈
鳗	鰻
鳙	鱅
谶	讖
骥	驥
缵	纘
瓒	瓚
鼍	鼉
黩	黷
黪	黲
镳	鑣
镴	鑞
臜	臢
鳜	鱖
鳝	鱔
鳟	鱒
骧	驤
颦	顰
鳢	鱧
癫	癲
灏	灝
鹳	鸛
镵	鑱
趱	趲
颧	顴
躜	躦
馕	饢
戆	戇
戋	戔
𬣙	訏
讱	訒
钆	釓
伣	俔
闫	閆
𬇕	澫
䜣	訢
讻	訩
𬣞	詝
𬘓	紃
纩	纊
玚	瑒
刬	剗
𫭟	塸
坜	壢
𫭢	埨
㧑	撝
𫇭	蔿
杩	榪
轪	軑
𫐄	軏
呙	咼
𫵷	㠣
觃	覎
㑇	㑳
飏	颺
闶	閌
𣲘	潕
𣲗	湋
沄	澐
𬇙	浿
𬣡	諓
祃	禡
诇	詗
诎	詘
诐	詖
屃	屓
𫸩	彄
纮	紘
驲	馹
𫘜	馼
纻	紵
𬘘	紞
𫘝	駃
纼	紖
玱	瑲
苧	薴
㭎	棡
𬨂	軝
𬀩	暐
𬀪	晛
岽	崬
𬬩	釴
钐	釤
钔	鍆
钖	鍚
郐	鄶
狝	獮
饳	飿
峃	嶨
𫍣	詷
𬣳	詪
𬩽	鄩
鸤	鳲
𬮿	隑
𬯀	隮
𫰛	娙
迳	逕
𬳵	駓
驵	駔
𬳶	駉
䌹	絅
驺	騶
𫠊	䮄
绋	紼
绐	紿
𬍛	瓅
韨	韍
垯	墶
垲	塏
